NUM_OPER;FECHA_CORTE;PRODUCTO_COD;TIPOPERSONACOD;MONTOCREDITO;FECHACONCESION;FECHAVENCIMIENTO;PLAZO_ORIGINAL_MESES;PLAZO;MONTOCUOTA;PERIOD_PAGO;TIPOTASACOD;TASAINTERES;TIPOCREDITOCOD;CALIFICACIONCOD;SALDOCAPITAL_POR_VENCER;SALDOCAPITAL_VENCIDO;SALDOCAPITAL_ND;SALDOCAPITAL_JUDICIAL;SALDOCASTIGADO;SALDOTOTAL;DIASMORA;MORAMAXIMA;MORAPROMEDIO;NUMERORENEGOCIACION;NUMEROVECESMORA_30;NUMEROVECESMORA_60;NUMEROVECESMORA_90;NUMEROVECESMORA_180;NUMEROVECESMORA_360;NUMEROVECESMORA_MAS360
46;31/1/2020;PROD_2;N;15000.0;21/7/2016;4/2/2020;43;1293;379.72;MENS;V;16.05;CONSUMO;E;0.0;1785.7;1071.54;2857.24;0;5714.48;211;211;48;0;2;1;1;2;0;0
51;31/1/2020;PROD_2;N;10000.0;27/7/2016;10/8/2019;37;1109;300.43;MENS;V;16.05;CONSUMO;E;0.0;233.36;0.0;0.0;0;233.36;174;174;45;0;1;1;1;0;0;0
54;31/1/2020;PROD_2;N;20000.0;2/8/2016;10/8/2020;48;1469;446.26;MENS;V;16.05;CONSUMO;C1;3437.49;312.38;0.0;0.0;0;3749.87;52;176;33;0;1;0;1;0;0;0
136;31/1/2020;PROD_2;N;10000.0;28/10/2016;13/11/2019;37;1111;289.1;MENS;V;16.05;CONSUMO;D;0.0;555.48;0.0;0.0;0;555.48;110;110;28;0;1;2;1;0;0;0
178;31/1/2020;PROD_2;N;17000.0;5/12/2016;5/6/2020;42;1278;424.64;MENS;V;16.05;CONSUMO;A1;2124.16;0.0;0.0;0.0;0;2124.16;0;12;4;0;0;0;0;0;0;0
189;31/1/2020;PROD_2;N;15000.0;9/12/2016;20/12/2020;48;1472;343.23;MENS;V;16.05;CONSUMO;B2;3822.24;240.26;0.0;0.0;0;4062.5;42;46;12;0;4;0;0;0;0;0
223;31/1/2020;PROD_2;N;12000.0;23/12/2016;28/12/2019;36;1100;412.86;MENS;V;16.05;CONSUMO;E;0.0;10333.23;666.78;11000.01;0;22000.02;1008;1008;485;0;0;0;0;0;0;366
227;31/1/2020;PROD_2;N;35000.0;28/12/2016;10/1/2021;49;1474;800.72;MENS;V;16.05;CONSUMO;A1;8918.55;0.0;0.0;0.0;0;8918.55;0;79;20;0;2;2;0;0;0;0
231;31/1/2020;PROD_2;N;37000.0;29/12/2016;29/12/2020;48;1461;846.4;MENS;V;16.05;CONSUMO;B2;9428.47;592.48;0.0;0.0;0;10020.95;33;33;10;0;3;0;0;0;0;0
261;31/1/2020;PROD_2;N;15000.0;20/1/2017;5/2/2020;37;1111;424.98;MENS;V;14.9;CONSUMO;A1;535.73;0.0;0.0;0.0;0;535.73;0;23;7;0;0;0;0;0;0;0
269;31/1/2020;PROD_2;N;8000.0;24/1/2017;6/2/2020;37;1108;226.99;MENS;V;16.0;CONSUMO;A1;285.63;0.0;0.0;0.0;0;285.63;0;96;23;0;2;2;1;0;0;0
282;31/1/2020;PROD_2;N;9000.0;27/1/2017;5/2/2020;37;1104;255.38;MENS;V;16.0;CONSUMO;A1;321.23;0.0;0.0;0.0;0;321.23;0;22;5;0;0;0;0;0;0;0
283;31/1/2020;PROD_2;N;20000.0;27/1/2017;4/2/2022;61;1834;391.97;MENS;V;14.9;CONSUMO;A1;8392.4;0.0;0.0;0.0;0;8392.4;0;64;18;0;2;1;0;0;0;0
317;31/1/2020;PROD_2;N;13500.0;13/2/2017;27/2/2022;60;1840;266.02;MENS;V;14.9;CONSUMO;B2;5888.79;186.21;0.0;0.0;0;6075.0;35;51;18;0;13;0;0;0;0;0
334;31/1/2020;PROD_2;N;20000.0;20/2/2017;5/3/2022;61;1839;394.14;MENS;V;14.9;CONSUMO;A1;8724.21;0.0;0.0;0.0;0;8724.21;0;0;0;0;0;0;0;0;0;0
363;31/1/2020;PROD_2;N;3000.0;3/3/2017;15/3/2019;24;742;134.64;MENS;V;16.0;CONSUMO;E;0.0;459.08;0.0;0.0;0;459.08;412;412;142;0;0;1;2;1;1;21
368;31/1/2020;PROD_2;N;20000.0;7/3/2017;10/3/2021;48;1464;460.13;MENS;V;14.9;CONSUMO;A1;5927.8;0.0;0.0;0.0;0;5927.8;0;38;10;0;1;0;0;0;0;0
378;31/1/2020;PROD_2;N;20000.0;9/3/2017;15/3/2021;48;1467;460.13;MENS;V;14.9;CONSUMO;A1;5927.8;0.0;0.0;0.0;0;5927.8;0;34;8;0;1;0;0;0;0;0
414;31/1/2020;PROD_2;N;9000.0;15/3/2017;20/3/2020;36;1101;256.87;MENS;V;16.0;CONSUMO;A1;570.19;0.0;0.0;0.0;0;570.19;0;2;1;0;0;0;0;0;0;0
423;31/1/2020;PROD_2;N;5000.0;17/3/2017;30/3/2019;24;743;225.5;MENS;V;16.0;CONSUMO;E;0.0;2291.71;0.0;2291.71;0;4583.42;550;580;280;0;0;0;0;0;1;220
462;31/1/2020;PROD_2;N;4000.0;28/3/2017;28/9/2019;30;914;142.57;MENS;V;16.0;CONSUMO;E;0.0;1059.94;0.0;1059.94;0;2119.88;337;337;89;0;1;2;2;1;0;0
526;31/1/2020;PROD_2;N;15000.0;17/4/2017;30/4/2022;60;1839;302.3;MENS;V;16.0;CONSUMO;A1;7038.39;0.0;0.0;0.0;0;7038.39;0;28;8;0;0;0;0;0;0;0
531;31/1/2020;PROD_2;N;10000.0;17/4/2017;20/4/2020;36;1099;287.5;MENS;V;16.0;CONSUMO;A1;909.79;0.0;0.0;0.0;0;909.79;0;37;8;0;0;0;0;0;0;0
533;31/1/2020;PROD_2;N;10000.0;18/4/2017;3/5/2021;49;1476;233.03;MENS;V;16.0;CONSUMO;A1;3157.6;0.0;0.0;0.0;0;3157.6;0;0;0;0;0;0;0;0;0;0
538;31/1/2020;PROD_2;N;8000.0;19/4/2017;28/4/2020;36;1105;252.04;MENS;V;16.0;CONSUMO;E;0.0;2454.29;1333.4;3787.69;0;7575.38;429;429;159;0;0;0;1;1;1;38
543;31/1/2020;PROD_2;N;10000.0;20/4/2017;5/11/2020;43;1295;258.05;MENS;V;16.0;CONSUMO;A1;2438.27;0.0;0.0;0.0;0;2438.27;0;52;15;0;1;0;0;0;0;0
