NUM_OPER,MONTOCREDITO_log_est,MONTOCUOTA_log_est,SALDOCAPITAL_POR_VENCER_log_est,NUMERORENEGOCIACION_log_est,PLAZO_est,TASAINTERES_est,DIAS_MADURACION_est,DIAS_RESTANTES_est,PRODUCTO_COD_PROD_2_e,TIPOTASACOD_V_e,PERIOD_PAGO_OTROS_e
46,0.018604048,-0.009476976,1.4860111,0.0,-0.04344795,0.010093245,0.06113982,0.11754788,-0.0040739905,0.0,0.0
51,0.030757,-0.013177226,1.368947,0.0,-0.0047331266,0.019882731,0.073767826,0.16468272,-0.003729822,0.0,0.0
54,-0.032897033,-0.018483792,-1.3960755,0.0,-0.18471208,-0.037053533,0.07952044,-0.0056455056,-0.008304344,0.0,0.0
136,0.035328224,-0.0093175685,1.3399252,0.0,0.017199492,0.01990603,0.07784801,0.15923756,-0.003729822,0.0,0.0
178,-0.012238022,0.010705868,-1.4065692,0.0,-0.23683567,-0.01978841,0.07167289,-0.0019310145,-0.008667642,0.0,0.0
189,-0.041441955,-0.029378138,-1.403669,0.0,-0.15624814,-0.025534859,0.08045618,-0.019468993,-0.008366287,0.0,0.0
223,0.031498134,0.0022904384,1.3583244,0.0,-0.016857501,0.024762865,0.07429303,0.16565534,-0.003569536,0.0,0.0
227,-0.04365493,-0.024819773,-1.3694597,0.0,-0.18536037,-0.013606861,0.088523254,-0.020233614,-0.008469076,0.0,0.0
231,-0.043722205,-0.024819773,-1.3694357,0.0,-0.18518272,-0.013606861,0.088455975,-0.020233614,-0.00853635,0.0,0.0
261,-0.0029080226,-0.029980998,-1.3436604,0.0,0.019856876,-0.115155816,0.10028166,0.23273754,-0.010684749,0.0,0.0
269,-0.124233626,-0.0221752,-1.3080963,0.0,-0.027485333,-0.023353163,0.10881504,0.092107415,-0.0092102345,0.0,0.0
282,0.15138064,-0.029587872,-1.2581242,0.0,0.053439878,0.04589195,0.1703972,0.12088171,-0.0092102345,0.0,0.0
283,-0.055820763,-0.054216314,-1.3429058,0.0,0.1737191,-0.16154793,0.20000416,0.018110713,-0.036937065,0.0,0.0
317,0.08026853,-0.027168501,-1.1978039,0.0,0.42629457,-0.045635752,0.35147917,0.0465359,-0.008028743,0.0,0.0
334,-0.038166337,-0.037214812,-1.3116785,0.0,0.26976293,-0.17015293,0.25962245,0.014673404,-0.007980352,0.0,0.0
363,-0.03399669,-0.010667506,1.5214345,0.0,-0.011546521,-0.0009056487,0.07852766,0.097815335,-0.004263912,0.0,0.0
368,-0.05830546,-0.04317096,-1.4051285,0.0,-0.14960204,-0.031527556,0.10760055,-0.013750054,-0.010364816,0.0,0.0
378,-0.05830546,-0.04317096,-1.4051285,0.0,-0.14960204,-0.031527556,0.10760055,-0.013750054,-0.010364816,0.0,0.0
414,0.29534706,-0.014202704,-1.3218111,0.0,0.06481838,-0.008798517,0.18255936,-0.025254838,-0.009476373,0.0,0.0
423,-0.030231956,-0.0031009493,1.5130446,0.0,-0.009574115,-0.004626282,0.078554295,0.0965956,-0.004263912,0.0,0.0
462,-0.032451577,-0.010667506,1.5202354,0.0,-0.0104991365,-0.0021048486,0.07732846,0.09882043,-0.004263912,0.0,0.0
526,0.0034753652,-0.2526266,-1.212898,0.0,0.3577454,0.082236275,0.2769953,0.0096597755,-0.007303501,0.0,0.0
531,-0.03658922,-0.016866393,-1.3831744,0.0,-0.05145688,-0.011892706,0.13063219,-0.0067979903,-0.009599303,0.0,0.0
533,-0.03500887,-0.01419061,-1.3908857,0.0,-0.17948781,-0.050811686,0.09192881,-0.012907652,-0.009077507,0.0,0.0
538,0.015562775,-0.0017494875,1.5779699,0.0,-0.00033421937,-0.010611595,0.060574107,-0.0007591109,-0.0042552757,0.0,0.0
543,-0.019669877,-0.015295285,-1.4157237,0.0,-0.16939873,-0.03177338,0.07996083,-0.018916264,-0.009624682,0.0,0.0
612,-0.054025777,-0.01914654,-1.3933098,0.0,-0.06800053,-0.0061255107,0.08658616,-0.03974764,-0.009599303,0.0,0.0
613,0.009007809,9.938808e-05,-1.3791906,0.0,-0.05537317,-0.038215484,0.1456927,0.0047714966,-0.009595799,0.0,0.0
636,-0.02923141,0.13077784,-1.1091193,0.0,0.59491163,0.2553577,0.33161104,0.056445055,-0.007282429,0.0,0.0
662,-0.019669877,-0.015295285,-1.4157237,0.0,-0.16939873,-0.03177338,0.07996083,-0.018916264,-0.009624682,0.0,0.0
675,-0.02923141,0.059767667,-1.1361307,0.0,0.5427553,0.22847478,0.3016647,0.008791751,-0.007282429,0.0,0.0
705,-0.012425031,-0.008340575,1.6298206,0.0,-0.011009658,-0.00040812604,0.04588086,-0.0027302078,-0.004390823,0.0,0.0
715,-0.03487736,-0.012931123,1.4713947,0.0,0.16442984,-0.033509333,0.08152336,0.010010677,-0.009643607,0.0,0.0
730,0.011807483,0.0008909776,1.6420836,0.0,-0.055040557,-0.012165625,0.052270513,0.00074179604,-0.0041910796,0.0,0.0
735,-0.0446779,-0.028444692,-1.373185,0.0,-0.18117118,-0.0029115074,0.0778521,-0.012899264,-0.008433562,0.0,0.0
739,-0.004915278,0.0042017577,1.658926,0.0,-0.06603566,0.0027603335,0.04712307,-0.0015728455,-0.004090452,0.0,0.0
744,-0.0055091516,0.032985136,1.2436591,0.0,0.19521749,0.05607925,0.10696702,0.0108758,-0.003877383,0.0,0.0
761,-0.10027088,-0.062344108,-1.3525295,0.0,-0.041154213,-0.045124944,0.033956002,0.0024650157,-0.010950707,0.0,0.0
764,0.07672349,-0.0052778963,1.5081468,0.0,-0.016399046,-0.0034285837,0.07224399,0.008836018,-0.0044474937,0.0,0.0
774,-0.03231164,-0.010667506,1.5226147,0.0,-0.00984798,-8.755611e-05,0.072140776,0.09882043,-0.004263912,0.0,0.0
777,-0.029673198,-0.05164762,-1.3539037,0.0,0.10665671,-0.0988205,0.15601672,0.04199685,-0.03707639,0.0,0.0
792,-0.033856753,-0.010667506,1.5238137,0.0,-0.010895365,0.0011116437,0.07333998,0.097815335,-0.004263912,0.0,0.0
800,-0.019361662,-0.015295285,-1.4142355,0.0,-0.16730237,-0.029587805,0.07388227,-0.018916264,-0.009624682,0.0,0.0
834,-0.036281,-0.01914654,-1.3792698,0.0,-0.050031938,-0.0076569207,0.122776404,-0.0065505975,-0.009584387,0.0,0.0
846,0.009245922,9.938808e-05,-1.3772116,0.0,-0.052655425,-0.03626426,0.13895932,0.0050392332,-0.010016256,0.0,0.0
849,-0.0007887875,-0.10103957,-1.3344176,0.0,-0.07658759,-0.11243554,0.104411796,0.0015632935,-0.039065428,0.0,0.0
860,0.01053833,-0.030459117,-1.4226974,0.0,-0.18723056,-0.04249373,0.0828999,-0.001841243,-0.009636095,0.0,0.0
876,-0.03470065,-0.01419061,-1.3893974,0.0,-0.17739144,-0.048626117,0.085850246,-0.012907652,-0.009077507,0.0,0.0
883,-0.027634943,-0.01659098,-1.3547742,0.0,0.039401356,0.0066313827,0.09643933,-0.03843149,-0.009584387,0.0,0.0
887,-0.03470065,-0.01419061,-1.3893974,0.0,-0.17739144,-0.048626117,0.085850246,-0.012907652,-0.009077507,0.0,0.0
927,0.14544149,-0.012507275,-1.3808135,0.0,-0.27051505,-0.029587805,0.12821542,-0.009317209,-0.007591137,0.0,0.0
941,-0.043154642,0.068820566,-1.2964687,0.0,-0.025195021,0.056293476,0.1261587,0.009818433,-0.03824795,0.0,0.0
956,-0.10840746,-0.031214135,-1.2135086,0.0,0.09856652,-0.08055891,0.17672166,0.0672882,-0.055633735,0.0,0.0
957,-0.037096705,-0.019153945,-1.3656973,0.0,-0.21647196,-0.002193215,0.08858136,-0.013513804,-0.008325541,0.0,0.0
958,-0.036351107,-0.01914654,-1.3792145,0.0,-0.0491762,-0.0076569207,0.122355945,-0.0065505975,-0.010004843,0.0,0.0
961,-0.02687353,-0.021952339,-1.3571482,0.0,0.036313344,0.020097405,0.09269119,-0.038087506,-0.009584387,0.0,0.0
964,-0.03623973,-0.02052407,-1.3799736,0.0,-0.049148303,-0.0065368237,0.12198594,-0.0061419527,-0.009166317,0.0,0.0
968,-0.025363866,0.104299635,-1.0794228,0.0,0.6130639,0.29235163,0.30185103,0.056648552,-0.007197249,0.0,0.0
972,-0.02687353,-0.021952339,-1.3571482,0.0,0.036313344,0.020097405,0.09269119,-0.038087506,-0.009584387,0.0,0.0
973,-0.037096705,-0.019153945,-1.3656973,0.0,-0.21647196,-0.002193215,0.08858136,-0.013513804,-0.008325541,0.0,0.0
